observed_at,campaign_id,platform,channel_name,channel_url,subscribers_or_followers,views_28d,watch_time_hours_28d,returning_viewers_28d,organic_or_paid,notes
2026-07-23T11:39:17-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,,,,organic,"Public channel count remained 1 subscriber. YouTube Studio returned an error, so current 28-day views, watch time, and returning viewers were unavailable."
2026-07-23T11:39:17-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Follower count remained 1. All three campaign Reels still showed 0 profile activity and 0 follows."
2026-07-23T11:39:17-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,381,,,,organic,"Follower count remained 381; no movement from the first available campaign baseline."
2026-07-24T11:37:48-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,,,,organic,"Public channel count remained 1 subscriber. YouTube Studio again returned an error, so current 28-day views, watch time, and returning viewers were unavailable."
2026-07-24T11:37:48-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Follower count remained 1. Campaign Reel insights continued to show 0 profile activity and 0 follows."
2026-07-24T11:37:48-04:00,ambient-seasons-001,TikTok,verse_vids,https://www.tiktok.com/@verse_vids,1,,,,organic,"Follower count remained 1 and the public profile remained at 50 total likes. No campaign-attributable movement was visible."
2026-07-24T11:37:48-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,381,,,,organic,"Follower count remained 381; no movement from the first available campaign baseline."
2026-07-25T12:06:01-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,,,,organic,"Public channel count remained 1 subscriber. Current Studio watch-quality fields were unavailable; the last trustworthy baseline remains 0.9 watch hours and 7:46 average view duration for the film."
2026-07-25T12:06:01-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Authenticated profile count remained 1 follower. No campaign-attributable movement was visible; current Reel retention, profile-action, follow, and click fields were not collected."
2026-07-25T12:06:01-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,382,,,,organic,"Authenticated profile count rose from 381 to 382 followers. Attribution to the campaign is unknown; no post-level follow attribution was exposed."
2026-07-25T12:22:58-04:00,ambient-seasons-001,YouTube,Verse Ambient,https://www.youtube.com/@verseambient,1,,,,organic,"Public channel count remained 1 subscriber. Current Studio watch-quality and returning-viewer fields were unavailable."
2026-07-25T12:22:58-04:00,ambient-seasons-001,Instagram,verse.videos,https://www.instagram.com/verse.videos/,1,,,,organic,"Follower count remained 1. All three authenticated Reel insights showed 0 profile activity and 0 follows."
2026-07-25T12:22:58-04:00,ambient-seasons-001,TikTok,verse_vids,https://www.tiktok.com/@verse_vids,1,,,,organic,"Authenticated profile count remained 1 follower and 50 total likes. No campaign-attributable movement was visible."
2026-07-25T12:22:58-04:00,ambient-seasons-001,X,Verse Studio,https://x.com/verse_vids,382,,,,organic,"Latest authenticated count remains 382 followers from the 12:06 snapshot. Attribution to the campaign is unknown."
